maxsimulationtime=1000	models=Centroid	sdr=0.05	leadersmodeloffset=0.0,0.0,	locationinitializer=random initializer	bias=0.0	scale=1.0	distribution=jsc.distributions.Uniform	params=0.0,1.0,	bias=0.0	scale=1.0	distribution=jsc.distributions.Uniform	params=0.0,1.0,	maps=squarereflect	width=500	height=500	rangealgorithms=NullPowerAlgorithm	groupsizes=10,	bias=0.0	scale=1.0	distribution=jsc.distributions.Uniform	params=0.0,1.0,	bias=0.0	scale=1.0	distribution=jsc.distributions.Uniform	params=0.0,1.0,	selected=random initializer	width=500	height=500	selected=squarereflect	selected=NullPowerAlgorithm	maxspeed=10	minspeed=5	maxpausetime=10	selected=Random WayPoint	maxinitialdistance=30	extratraces=true	pergrouprange=false	adr=0.05	nodenumber=5	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	fileaddress=output	isinput=false	multiple=false	filenamegenerator=simple	seed=outputtrace	numberiterate=true	tracewriter=text
Time	Node	PositionX	PositionY	Speed	Direction Angle	Range	GroupNumber	Is Leader
1	0	56	364	5079	0022	0	0	true
1	1	66	376	5075	3095	0	0	false
1	2	31	359	5091	0018	0	0	false
1	3	70	374	5065	3078	0	0	false
1	4	80	368	5068	3027	0	0	false
2	0	61	365	5079	0022	0	0	true
2	1	62	372	5057	401	0	0	false
2	2	37	360	506	0018	0	0	false
2	3	65	371	5084	3088	0	0	false
2	4	74	367	5061	3026	0	0	false
3	0	67	367	5079	0022	0	0	true
3	1	59	367	5056	4044	0	0	false
3	2	43	361	5071	0019	0	0	false
3	3	61	367	5081	4008	0	0	false
3	4	68	367	6006	3024	0	0	false
4	0	72	368	5079	0022	0	0	true
4	1	58	362	5079	5042	0	0	false
4	2	48	362	6004	0019	0	0	false
4	3	57	362	5093	4084	0	0	false
4	4	62	366	5075	3019	0	0	false
5	0	78	369	5079	0022	0	0	true
5	1	61	357	5092	0018	0	0	false
5	2	54	363	5072	002	0	0	false
5	3	58	356	5075	003	0	0	false
5	4	57	366	5066	2083	0	0	false
6	0	84	371	5079	0022	0	0	true
6	1	67	358	507	0022	0	0	false
6	2	60	364	5095	002	0	0	false
6	3	64	358	5052	0022	0	0	false
6	4	51	368	5092	0005	0	0	false
7	0	89	372	5079	0022	0	0	true
7	1	73	360	5075	0022	0	0	false
7	2	66	366	5067	002	0	0	false
7	3	69	359	5051	0022	0	0	false
7	4	57	368	6001	0017	0	0	false
8	0	95	373	5079	0022	0	0	true
8	1	78	361	5059	0022	0	0	false
8	2	71	367	5061	002	0	0	false
8	3	74	360	5096	0022	0	0	false
8	4	63	369	5087	0021	0	0	false
9	0	101	374	5079	0022	0	0	true
9	1	84	362	6007	0022	0	0	false
9	2	77	368	5073	0021	0	0	false
9	3	80	362	5072	0022	0	0	false
9	4	69	370	5061	0022	0	0	false
10	0	106	376	5079	0022	0	0	true
10	1	90	364	5093	0022	0	0	false
10	2	82	369	5071	0021	0	0	false
10	3	86	363	5081	0022	0	0	false
10	4	74	371	5072	0022	0	0	false
11	0	112	377	5079	0022	0	0	true
11	1	95	365	5094	0022	0	0	false
11	2	88	370	5085	0021	0	0	false
11	3	92	364	6004	0022	0	0	false
11	4	80	373	5057	0022	0	0	false
12	0	113	377	5079	0022	0	0	true
12	1	101	366	507	0022	0	0	false
12	2	94	371	5065	0021	0	0	false
12	3	97	366	5066	0022	0	0	false
12	4	85	374	6001	0022	0	0	false
13	0	113	377	5079	0022	0	0	true
13	1	107	367	5074	3036	0	0	false
13	2	99	373	6004	0021	0	0	false
13	3	103	367	5056	3036	0	0	false
13	4	91	375	6003	3036	0	0	false
14	0	120	378	7002	0018	0	0	true
14	1	101	366	7022	0026	0	0	false
14	2	105	374	7029	0018	0	0	false
14	3	97	366	703	0028	0	0	false
14	4	85	374	7005	003	0	0	false
15	0	126	380	7002	0018	0	0	true
15	1	108	368	6082	0018	0	0	false
15	2	112	375	7021	0018	0	0	false
15	3	105	368	7005	0018	0	0	false
15	4	92	376	608	0022	0	0	false
16	0	133	381	7002	0018	0	0	true
16	1	115	369	6089	0018	0	0	false
16	2	119	376	6075	0018	0	0	false
16	3	111	369	7009	0018	0	0	false
16	4	99	378	7024	0019	0	0	false
17	0	140	382	7002	0018	0	0	true
17	1	122	370	6095	0018	0	0	false
17	2	126	378	7013	0018	0	0	false
